project	frequency
jackson-jaxrs-json-provider	24
amqp-client	24
selenium-htmlunit-driver	24
robotium-solo	24
el-impl	24
git-commit-id-plugin	24
cxf-rt-frontend-jaxrs	24
jaxrs-api	23
jboss-as-arquillian-container-remote	23
myfaces-api	23
hibernate-search	23
spring-social-core	23
axis	23
selenium-remote-driver	23
htmlparser	23
bcprov-jdk15on	23
infinispan-core	23
urlrewritefilter	23
spring-integration-core	23
tiles-jsp	23
project	23
spring-data-mongodb	23
java15	23
wagon-svn	23
hazelcast	23
cssparser	22
camel-core	22
solr-core	22
shrinkwrap-impl-base	22
drools-compiler	22
aether-impl	22
spring-batch-core	22
picocontainer	22
mybatis	22
lucene-analyzers	22
xerces	22
gin	22
fastutil	22
tomcat-embed-jasper	22
bonecp	22
jython	22
wstx-asl	22
java16	22
wicket-extensions	22
twitter4j-core	22
scribe	22
docbook-xml	22
org	21
jxl	21
tika-parsers	21
lucene-test-framework	21
paranamer	21
jersey-guice	21
ojdbc6	21
jdo2-api	21
shiro-core	21
selenium-firefox-driver	21
concurrent	21
xbean-spring	21
sitemesh	21
kryo	20
derbyclient	20
jboss-logging-spi	20
eclipselink	20
util	20
slf4j-ext	20
simple-xml	20
commons-beanutils-core	20
ant-junit	20
httpunit	20
weld-servlet	20
hive-exec	20
drools-core	20
primefaces	20
cucumber-junit	20
ejb-api	20
operadriver	20
xmlsec	20
groovy-eclipse-compiler	19
neo4j-kernel	19
spring-instrument	19
fop	19
examples	19
shiro-web	19
tomcat-catalina	19
neo4j	19
asm-util	19
richfaces-core-impl	19
assertj-core	19
janino	19
resteasy-jaxb-provider	19
weld-se-core	19
arquillian-container-spi	19
jython-standalone	19
cucumber-java	19
jasper-compiler	19
jcr	19
commons-discovery	19
spring-security-ldap	19
yuicompressor	19
mina-core	19
snappy-java	19
jdeb	19
tomcat-jdbc	19
myfaces-impl	19
glassfish-embedded-all	19
hector-core	18
jasper-runtime	18
jboss-logmanager	18
spring-security-acl	18
jetty-websocket	18
arquillian-container-test-spi	18
wicket-core	18
resteasy-jackson-provider	18
metrics	18
querydsl-apt	18
jzlib	18
jmockit	18
libraries	18
unchecked	18
saxon-dom	18
apiviz	18
jstl-api	18
bcel	18
je	18
ognl	18
jboss-vfs	18
wagon-provider-api	18
smack	18
netty-all	18
checkstyle	18
wildfly-arquillian-container-managed	18
metrics-graphite	18
lucene-highlighter	18
javaee-web-api	17
wicket	17
none	17
hadoop-minicluster	17
bcpkix-jdk15on	17
spring-security-crypto	17
commons-vfs	17
spring-mock	17
platform	17
tiles-core	17
tika-core	17
play-services	17
hibernate-jpamodelgen	17
richfaces-components-ui	17
pax-exam-junit4	17
dropwizard-core	17
pdfbox	17
jaxb2-basics	17
plexus-component-metadata	17
okhttp	16
jackson-module-jaxb-annotations	16
concurrentlinkedhashmap-lru	16
byteman-bmunit	16
jai_core	16
struts2-core	16
camel-spring	16
jetty-security	16
groovy-eclipse-batch	16
jersey-bundle	16
atmosphere-runtime	16
Saxon-HE	16
doclava	16
sshd-core	16
hive-serde	16
app	16
jasypt	16
api	16
spring-data-commons	15
datanucleus-core	15
liquibase-core	15
ant-jsch	15
javadoc	15
gt-shapefile	15
jetty-client	15
forms	15
hibernate-c3p0	15
apache	15
storm	15
otto	15
jclouds-blobstore	15
roboguice	15
powermock-api-easymock	15
jai_codec	15
runtime	15
fest-android	15
hamcrest-integration	15
slf4j-android	15
poi-scratchpad	15
worldedit	15
emma	15
vaadin-server	15
jericho-html	15
cxf-rt-transports-http-jetty	15
gt-epsg-hsql	15
sesame-repository-sail	15
xpp3_min	15
compatibility-v4	15
jasper	15
smackx	15
lambdaj	15
collections-generic	15
jung-graph-impl	15
jboss-remoting	15
dozer	15
flexjson	15
byteman	15
avalon-framework	15
blueprints-core	15
httpcore-nio	15
jena-arq	15
log4j-core	15
wagon-http-lightweight	15
selenium-java-client-driver	15
asm-tree	15
twitter4j-stream	14
mybatis-spring	14
selenium-api	14
activemq-pool	14
opensaml	14
zkclient	14
xml-resolver	14
sac	14
server	14
dnsjava	14
caliper	14
tomcat-servlet-api	14
xmlrpc-client	14
spring-data-redis	14
compiler	14
ojdbc14	14
simple	14
joda-convert	14
jai_imageio	14
aether-connector-wagon	14
swingx	14
jboss-as-server	14
guava-gwt	14
wildfly-dist	14
jarjar	14
jetty-io	14
plexus-classworlds	14
uuid	14
closure-compiler	14
qdox	14
cascading-hadoop	14
jackson-mapper-lgpl	14
jcifs	14
ejb3-persistence	14
plexus-compiler-api	14
sesame-sail-memory	14
spring-ldap-core	14
shrinkwrap-resolver-bom	14
jung-visualization	14
hive-common	14
colt	14
lucene-queries	14
shrinkwrap-descriptors-impl-javaee	14
wagon-file	14
jena	14
aether-spi	14
jms-api	14
coyote	14
arquillian-core-spi	13
spring-osgi-core	13
logback-access	13
roboguice-sherlock	13
cassandra-thrift	13
jboss-marshalling	13
jstl-impl	13
dagger	13
ezmorph	13
tapestry-core	13
jetty-http	13
jetty-jsp	13
ant-trax	13
commons-dbutils	13
findbugs	13
tomcat-coyote	13
perf4j	13
querydsl-jpa	13
byteman-install	13
modules	13
neo4j-lucene-index	13
cxf-rt-core	13
commons	13
arquillian-drone-bom	13
avro-ipc	13
tycho-p2-plugin	13
scannotation	13
tagsoup	13
sqljdbc4	13
asm-attrs	13
vaadin-themes	13
sesame-rio-turtle	13
spring-social-facebook	13
http-request	13
jquery	13
tycho-versions-plugin	13
arquillian-drone-webdriver-depchain	13
shrinkwrap-resolver-depchain	13
logkit	13
jersey-apache-client	13
poi-ooxml-schemas	13
gt-referencing	13
curator-recipes	12
apache-karaf	12
lwjgl	12
axiom-api	12
metrics-ganglia	12
jdom2	12
jboss-marshalling-river	12
google-api-client	12
arquillian-test-spi	12
xml-apis-ext	12
juniversalchardet	12
jung-api	12
jboss-modules	12
solder-impl	12
bsf	12
hornetq-jms-client	12
compress-lzf	12
server-api	12
spring-batch-infrastructure	12
plexus-build-api	12
plexus-component-api	12
sisu-guice	12
pom	12
utils	12
cxf-rt-bindings-soap	12
netcdf	12
itextpdf	12
cxf-rt-frontend-simple	12
ftpserver-core	12
xmlpull	12
log4j-api	12
jackrabbit-core	12
mahout-core	12
jaxws-rt	12
lwjgl_util	12
jaxb2-basics-runtime	12
gremlin-groovy	12
spring-social-twitter	12
tomcat-jasper	12
jackson-parent	12
high-scale-lib	12
jsr181-api	12
sshj	12
cascading-core	12
lucene-memory	12
client	12
proguard-base	12
sesame-rio-rdfxml	12
gt-main	12
phantomjsdriver	12
spring-social-security	12
jetty-all-server	12
selenium-support	11
tapestry-test	11
disruptor	11
jetty-jmx	11
objectify	11
wss4j	11
displaytag	11
blueprints-neo4j-graph	11
wicket-spring	11
spring-integration-file	11
testing	11
weld-se	11
batik-svggen	11
jgrapht	11
dagger-compiler	11
rest-assured	11
pax-url-aether	11
miglayout	11
pmd	11
cobertura	11
propdeps-plugin	11
weld-api	11
dwr	11
cxf-rt-ws-security	11
codemodel	11
sample	11
jetty-naming	11
vecmath	11
htmlcleaner	11
axiom-impl	11
spring-integration-http	11
ical4j	11
avro-mapred	11
sesame-queryparser-sparql	11
camel-jms	11
openejb-core	11
commons-digester3	11
metadata-extractor	11
hadoop-mapreduce-client-core	11
sesame-rio-ntriples	11
spring-social-web	11
spring-rabbit	11
cxf-codegen-plugin	11
backport-util-concurrent	11
httpclient-cache	11
stax2-api	11
imgscalr-lib	11
mrunit	11
sigar	11
spring-webflow	11
batik-util	11
prettytime	11
richfaces-bom	11
joda-money	11
worldguard	11
signpost-core	11
selenium-chrome-driver	11
acra	11
struts	10
junit-addons	10
geronimo-spec-jta	10
jbossweb	10
spring-webmvc-portlet	10
batik-bridge	10
datanucleus-rdbms	10
astyanax	10
osgi	10
fest-reflect	10
jandex	10
appengine-tools-sdk	10
jboss-common-core	10
hessian	10
svnkit	10
ant-apache-regexp	10
greenmail	10
javahelp	10
arq	10
arquillian-container-test-api	10
cassandra-driver-core	10
activemq-client	10
netty-transport	10
xnio-nio	10
hive-metastore	10
signpost-commonshttp4	10
sesame-sail-nativerdf	10
spring-js	10
jaxws-api	10
oscache	10
subethasmtp	10
deprecation	10
gt-api	10
druid	10
jackson-core-lgpl	10
knowledge-api	10
mockobjects-core	10
spring-integration-stream	10
powermock-core	10
javacc	10
bcprov-jdk14	10
cas-client-core	10
activemq-broker	10
batik-dom	10
kie-api	10
jaxrpc-api	10
apache-mime4j	10
sesame-rio-trig	10
reflectasm	10
slf4j-jcl	10
mahout-math	10
vaadin-client-compiled	10
activiti-engine	10
camel-test	10
vaadin	10
grizzly-servlet-webserver	10
radeox	10
btm	10
spring-social-config	10
core-renderer	10
jetty-continuation	10
wildfly-arquillian-container-remote	10
asm-debug-all	10
wagon-http	10
arquillian-core-impl-base	10
arquillian-test-impl-base	10
awaitility	10
integration	10
xnio-api	10
mule-transport-vm	10
vaadin-client	10
fastjson	10
jung-algorithms	10
jsonassert	10
spring-security-openid	10
hibernate-envers	10
plexus-component-annotations	10
ST4	10
batik-transcoder	10
spring-retry	10
javaparser	10
jetty-runner	10
jibx-run	10
commons-el	10
jclouds-slf4j	10
gwt-log	10
arquillian-container-test-impl-base	9
gt-geotiff	9
wicket-auth-roles	9
jackson-dataformat-smile	9
jetty-management	9
gt-cql	9
gwtp-mvp-client	9
jackson-datatype-guava	9
neo4j-server	9
tomcat-jsp-api	9
javaee-endorsed-api	9
spring-integration-ip	9
neo4j-cypher	9
cxf-api	9
axis-jaxrpc	9
swing-layout	9
hadoop-yarn-common	9
butterknife	9
flyway-core	9
jboss-el	9
arquillian-build	9
junit-benchmarks	9
ProtocolLib	9
docs	9
pegdown	9
ehcache-web	9
mule-module-client	9
services	9
picketbox	9
jaudiotagger	9
jclouds-core	9
plexus-interpolation	9
arquillian-tomee-remote	9
connector-api	9
spring-security-oauth2	9
build	9
plugins	9
maps	9
activemq-camel	9
pax-exam	9
archaius-core	9
curator-framework	9
grizzly-http-servlet	9
bcmail-jdk14	9
tests	9
kxml2	9
mule-tests-functional	9
spring-data-neo4j	9
jboss-ejb3-api	9
